timestamp,type,ip_or_domain,details
2025-11-02T16:44:44.316076+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:45.319184+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:46.320037+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:47.324328+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:48.323923+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:49.650405+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:50.650140+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:51.653179+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:52.658517+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:53.662016+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:22:33:44:55:66:77;aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T21:33:20.114511+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:21.122889+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
